Id,Received_Amount__c
a0FHp00000zy6tXMAQ,
a0FHp00000zy6tYMAQ,
a0FHp00000zy6tZMAQ,
a0FHp00000zy6taMAA,
a0FHp00000zy6tbMAA,
a0FHp00000zy6tcMAA,
a0FHp00000zy6tdMAA,
a0FHp00000zy6teMAA,
a0FHp00000zy6tfMAA,
a0FHp00000zy6tgMAA,
a0FHp00000zy6thMAA,
a0FHp00000zy6tiMAA,
a0FHp00000zy6tjMAA,
a0FHp00000zy6tkMAA,
a0FHp00000zy6tlMAA,
a0FHp00000zy6tmMAA,
a0FHp00000zy6tnMAA,
a0FHp00000zy6toMAA,
a0FHp00000zy6tpMAA,
a0FHp00000zy6tqMAA,
a0FHp00000zy6trMAA,
a0FHp00000zy6tsMAA,
a0FHp00000zy6ttMAA,
a0FHp00000zy6tuMAA,
a0FHp00000zy6tvMAA,
a0FHp00000zy6twMAA,
a0FHp00000zy6txMAA,
a0FHp00000zy6tyMAA,
a0FHp00000zy6tzMAA,
a0FHp00000zy6u0MAA,
a0FHp00000zy6u1MAA,
a0FHp00000zy6u2MAA,
a0FHp00000zy6u3MAA,
a0FHp00000zy6u4MAA,
a0FHp00000zy6u5MAA,
a0FHp00000zy6u6MAA,
a0FHp00000zy6u7MAA,
a0FHp00000zy6u8MAA,
a0FHp00000zy6u9MAA,
a0FHp00000zy6uAMAQ,
a0FHp00000zy6uBMAQ,
a0FHp00000zy6uCMAQ,
a0FHp00000zy6uDMAQ,
a0FHp00000zy6uEMAQ,
a0FHp00000zy6uFMAQ,
a0FHp00000zy6uGMAQ,
a0FHp00000zy6uHMAQ,
a0FHp00000zy6uIMAQ,
a0FHp00000zy6uJMAQ,
a0FHp00000zy6uKMAQ,
a0FHp00000zy6uLMAQ,
a0FHp00000zy6uMMAQ,
a0FHp00000zy6uNMAQ,
a0FHp00000zy6uOMAQ,
a0FHp00000zy6uPMAQ,
a0FHp00000zy6uQMAQ,
a0FHp00000zy6uRMAQ,
a0FHp00000zy6uSMAQ,
a0FHp00000zy6uTMAQ,
a0FHp00000zy6uUMAQ,
a0FHp00000zy6uVMAQ,
a0FHp00000zy6uWMAQ,
a0FHp00000zy6uXMAQ,
a0FHp00000zy6uYMAQ,
a0FHp00000zy6uZMAQ,
a0FHp00000zy6uaMAA,
a0FHp00000zy6ubMAA,
a0FHp00000zy6ucMAA,
a0FHp00000zy6udMAA,
a0FHp00000zy6vXMAQ,25930.52
a0FHp00000zy6vYMAQ,25882.98
a0FHp00000zy6vZMAQ,25930.52
a0FHp00000zy6vaMAA,25930.52
a0FHp00000zy6vbMAA,25930.52
a0FHp00000zy6vcMAA,25930.52
a0FHp00000zy6vdMAA,25930.52
a0FHp00000zy6veMAA,25901
a0FHp00000zy6vfMAA,25921
a0FHp00000zy6vgMAA,25901
a0FHp00000zy6vhMAA,25901
a0FHp00000zy6viMAA,25901
a0FHp00000zy6vjMAA,25901
a0FHp00000zy6vkMAA,25901
a0FHp00000zy6vlMAA,25901
a0FHp00000zy6vmMAA,25901
a0FHp00000zy6vnMAA,25901
a0FHp00000zy6voMAA,25901
a0FHp00000zy6vpMAA,25870
a0FHp00000zy6vqMAA,12965
a0FHp00000zy6vrMAA,12965
a0FHp00000zy6vsMAA,12965
a0FHp00000zy6vtMAA,12965
a0FHp00000zy6vuMAA,12965
a0FHp00000zy6vvMAA,
a0FHp00000zy6vwMAA,
a0FHp00000zy6vxMAA,
a0FHp00000zy6vyMAA,
a0FHp00000zy6vzMAA,
a0FHp00000zy6w0MAA,
a0FHp00000zy6w1MAA,
a0FHp00000zy6w2MAA,
a0FHp00000zy6w3MAA,
a0FHp00000zy6w4MAA,
a0FHp00000zy6w5MAA,
a0FHp00000zy6w6MAA,
a0FHp00000zy6w7MAA,
a0FHp00000zy6w8MAA,
a0FHp00000zy6w9MAA,
a0FHp00000zy6wAMAQ,
a0FHp00000zy6wBMAQ,
a0FHp00000zy6wCMAQ,
a0FHp00000zy6wDMAQ,
a0FHp00000zy6wEMAQ,
a0FHp00000zy6wFMAQ,
a0FHp00000zy6wGMAQ,
a0FHp00000zy6wHMAQ,
a0FHp00000zy6wIMAQ,
a0FHp00000zy6wJMAQ,
a0FHp00000zy6wKMAQ,
a0FHp00000zy6wLMAQ,
a0FHp00000zy6wMMAQ,
a0FHp00000zy6wNMAQ,
a0FHp00000zy6wOMAQ,
a0FHp00000zy6wPMAQ,
a0FHp00000zy6wQMAQ,26343.68
a0FHp00000zy6wRMAQ,26343.68
a0FHp00000zy6wSMAQ,26343.68
a0FHp00000zy6wTMAQ,26343.68
a0FHp00000zy6wUMAQ,26343.68
a0FHp00000zy6wVMAQ,26343.68
a0FHp00000zy6wWMAQ,26343.68
a0FHp00000zy6wXMAQ,26343.68
a0FHp00000zy6wYMAQ,26343.68
a0FHp00000zy6wZMAQ,26343.68
a0FHp00000zy6waMAA,26343.68
a0FHp00000zy6wbMAA,26343.68
a0FHp00000zy6wcMAA,26343.68
a0FHp00000zy6wdMAA,26343.68
a0FHp00000zy6weMAA,26343.68
a0FHp00000zy6wfMAA,26343.68
a0FHp00000zy6wgMAA,26343.68
a0FHp00000zy6whMAA,26343.68
a0FHp00000zy6wiMAA,26343.68
a0FHp00000zy6wjMAA,13171.84
a0FHp00000zy6wkMAA,13171.84
a0FHp00000zy6wlMAA,13171.84
a0FHp00000zy6wmMAA,13171.84
a0FHp00000zy6wnMAA,13171.84
a0FHp00000zy6woMAA,13171.84
a0FHp00000zy6wpMAA,8363.45
a0FHp00000zy6wqMAA,
a0FHp00000zy6wrMAA,
a0FHp00000zy6wsMAA,
a0FHp00000zy6wtMAA,
a0FHp00000zy6wuMAA,
a0FHp00000zy6wvMAA,
a0FHp00000zy6wwMAA,
a0FHp00000zy6wxMAA,
a0FHp00000zy6wyMAA,
a0FHp00000zy6wzMAA,
a0FHp00000zy6x0MAA,
a0FHp00000zy6x1MAA,
a0FHp00000zy6x2MAA,
a0FHp00000zy6x3MAA,
a0FHp00000zy6x4MAA,
a0FHp00000zy6x5MAA,
a0FHp00000zy6x6MAA,
a0FHp00000zy6x7MAA,
a0FHp00000zy6x8MAA,
a0FHp00000zy6x9MAA,
a0FHp00000zy6xAMAQ,
a0FHp00000zy6xBMAQ,
a0FHp00000zy6xCMAQ,
a0FHp00000zy6xDMAQ,
a0FHp00000zy6xEMAQ,
a0FHp00000zy6xFMAQ,
a0FHp00000zy6xGMAQ,
a0FHp00000zy6xHMAQ,
a0FHp00000zy6xIMAQ,
a0FHp00000zy6yCMAQ,27733.68
a0FHp00000zy6yDMAQ,27685.13
a0FHp00000zy6yEMAQ,27733.68
a0FHp00000zy6yFMAQ,27733.68
a0FHp00000zy6yGMAQ,27733.68
a0FHp00000zy6yHMAQ,27733.68
a0FHp00000zy6yIMAQ,27685.28
a0FHp00000zy6yJMAQ,27685.28
a0FHp00000zy6yKMAQ,27000
a0FHp00000zy6yLMAQ,27733.68
a0FHp00000zy6yMMAQ,27733.68
a0FHp00000zy6yNMAQ,27733.68
a0FHp00000zy6yOMAQ,27733.68
a0FHp00000zy6yPMAQ,27733.68
a0FHp00000zy6yQMAQ,27733.68
a0FHp00000zy6yRMAQ,27733.68
a0FHp00000zy6ySMAQ,27733.68
a0FHp00000zy6yTMAQ,27733.68
a0FHp00000zy6yUMAQ,
a0FHp00000zy6yVMAQ,
a0FHp00000zy6yWMAQ,
a0FHp00000zy6yXMAQ,
a0FHp00000zy6yYMAQ,
a0FHp00000zy6yZMAQ,
a0FHp00000zy6yaMAA,
a0FHp00000zy6ybMAA,
a0FHp00000zy6ycMAA,
a0FHp00000zy6ydMAA,
a0FHp00000zy6yeMAA,
a0FHp00000zy6yfMAA,
a0FHp00000zy6ygMAA,
a0FHp00000zy6yhMAA,
a0FHp00000zy6yiMAA,
a0FHp00000zy6yjMAA,
a0FHp00000zy6ykMAA,
a0FHp00000zy6ylMAA,
a0FHp00000zy6ymMAA,
a0FHp00000zy6ynMAA,
a0FHp00000zy6yoMAA,
a0FHp00000zy6ypMAA,
a0FHp00000zy6yqMAA,
a0FHp00000zy6yrMAA,
a0FHp00000zy6ysMAA,
a0FHp00000zy6ytMAA,
a0FHp00000zy6yuMAA,
a0FHp00000zy6yvMAA,
a0FHp00000zy6ywMAA,
a0FHp00000zy6yxMAA,
a0FHp00000zy6yyMAA,
a0FHp00000zy6yzMAA,
a0FHp00000zy6z0MAA,
a0FHp00000zy6z1MAA,
a0FHp00000zy6z2MAA,
a0FHp00000zy6z3MAA,
a0FHp00000zy6z4MAA,
a0FHp00000zy6z5MAA,29511.38
a0FHp00000zy6z6MAA,29511.38
a0FHp00000zy6z7MAA,29511.38
a0FHp00000zy6z8MAA,29511.38
a0FHp00000zy6z9MAA,29511.38
a0FHp00000zy6zAMAQ,29511.38
a0FHp00000zy6zBMAQ,29511.38
a0FHp00000zy6zCMAQ,29511.38
a0FHp00000zy6zDMAQ,29511.38
a0FHp00000zy6zEMAQ,29511.38
a0FHp00000zy6zFMAQ,29491.46
a0FHp00000zy6zGMAQ,29335
a0FHp00000zy6zHMAQ,29511.38
a0FHp00000zy6zIMAQ,27858.62
a0FHp00000zy6zJMAQ,
a0FHp00000zy6zKMAQ,
a0FHp00000zy6zLMAQ,
a0FHp00000zy6zMMAQ,
a0FHp00000zy6zNMAQ,
a0FHp00000zy6zOMAQ,
a0FHp00000zy6zPMAQ,
a0FHp00000zy6zQMAQ,
a0FHp00000zy6zRMAQ,
a0FHp00000zy6zSMAQ,
a0FHp00000zy6zTMAQ,
a0FHp00000zy6zUMAQ,
a0FHp00000zy6zVMAQ,
a0FHp00000zy6zWMAQ,
a0FHp00000zy6zXMAQ,
a0FHp00000zy6zYMAQ,
a0FHp00000zy6zZMAQ,
a0FHp00000zy6zaMAA,
a0FHp00000zy6zbMAA,
a0FHp00000zy6zcMAA,
a0FHp00000zy6zdMAA,
a0FHp00000zy6zeMAA,
a0FHp00000zy6zfMAA,
a0FHp00000zy6zgMAA,
a0FHp00000zy6zhMAA,
a0FHp00000zy6ziMAA,
a0FHp00000zy6zjMAA,
a0FHp00000zy6zkMAA,
a0FHp00000zy6zlMAA,
a0FHp00000zy6zmMAA,
a0FHp00000zy6znMAA,
a0FHp00000zy6zoMAA,
a0FHp00000zy6zpMAA,
a0FHp00000zy6zqMAA,
a0FHp00000zy6zrMAA,
a0FHp00000zy6zsMAA,
a0FHp00000zy6ztMAA,
a0FHp00000zy6zuMAA,
a0FHp00000zy6zvMAA,
a0FHp00000zy6zwMAA,
a0FHp00000zy6zxMAA,
a0FHp00000zy6zyMAA,27498.56
a0FHp00000zy6zzMAA,27498.56
a0FHp00000zy700MAA,27498.56
a0FHp00000zy701MAA,27498.56
a0FHp00000zy702MAA,27498.56
a0FHp00000zy703MAA,27498.56
a0FHp00000zy704MAA,27498.56
a0FHp00000zy705MAA,27498.56
a0FHp00000zy706MAA,27498.56
a0FHp00000zy707MAA,27498.56
a0FHp00000zy708MAA,27498.56
a0FHp00000zy709MAA,27498.56
a0FHp00000zy70AMAQ,27498.56
a0FHp00000zy70BMAQ,27498.56
a0FHp00000zy70CMAQ,27498.56
a0FHp00000zy70DMAQ,27498.56
a0FHp00000zy70EMAQ,27498.56
a0FHp00000zy70FMAQ,23662.72
a0FHp00000zy70GMAQ,
a0FHp00000zy70HMAQ,
a0FHp00000zy70IMAQ,
a0FHp00000zy70JMAQ,
a0FHp00000zy70KMAQ,
a0FHp00000zy70LMAQ,
a0FHp00000zy70MMAQ,
a0FHp00000zy70NMAQ,
a0FHp00000zy70OMAQ,
a0FHp00000zy70PMAQ,
a0FHp00000zy70QMAQ,
a0FHp00000zy70RMAQ,
a0FHp00000zy70SMAQ,
a0FHp00000zy70TMAQ,
a0FHp00000zy70UMAQ,
a0FHp00000zy70VMAQ,
a0FHp00000zy70WMAQ,
a0FHp00000zy70XMAQ,
a0FHp00000zy70YMAQ,
a0FHp00000zy70ZMAQ,
a0FHp00000zy70aMAA,
a0FHp00000zy70bMAA,
a0FHp00000zy70cMAA,
a0FHp00000zy70dMAA,
a0FHp00000zy70eMAA,
a0FHp00000zy70fMAA,
a0FHp00000zy70gMAA,
a0FHp00000zy70hMAA,
a0FHp00000zy70iMAA,
a0FHp00000zy70jMAA,
a0FHp00000zy70kMAA,
a0FHp00000zy70lMAA,
a0FHp00000zy70mMAA,
a0FHp00000zy70nMAA,
a0FHp00000zy70oMAA,
a0FHp00000zy70pMAA,
a0FHp00000zy70qMAA,
a0FHp00000zy72dMAA,66858.34
a0FHp00000zy72eMAA,66858.34
a0FHp00000zy72fMAA,66858.34
a0FHp00000zy72gMAA,66858.34
a0FHp00000zy72hMAA,66858.34
a0FHp00000zy72iMAA,66858.34
a0FHp00000zy72jMAA,66858.34
a0FHp00000zy72kMAA,66858.34
a0FHp00000zy72lMAA,66858.34
a0FHp00000zy72mMAA,66858.34
a0FHp00000zy72nMAA,66858.34
a0FHp00000zy72oMAA,66858.34
a0FHp00000zy72pMAA,66858.34
a0FHp00000zy72qMAA,66858.34
a0FHp00000zy72rMAA,66858.34
a0FHp00000zy72sMAA,66858.34
a0FHp00000zy72tMAA,66858.34
a0FHp00000zy72uMAA,66858.34
a0FHp00000zy72vMAA,
a0FHp00000zy72wMAA,
a0FHp00000zy72xMAA,
a0FHp00000zy72yMAA,
a0FHp00000zy72zMAA,
a0FHp00000zy730MAA,
a0FHp00000zy731MAA,
a0FHp00000zy732MAA,
a0FHp00000zy733MAA,
a0FHp00000zy734MAA,
a0FHp00000zy735MAA,
a0FHp00000zy736MAA,
a0FHp00000zy737MAA,
a0FHp00000zy738MAA,
a0FHp00000zy739MAA,
a0FHp00000zy73AMAQ,
a0FHp00000zy73BMAQ,
a0FHp00000zy73CMAQ,
a0FHp00000zy73DMAQ,
a0FHp00000zy73EMAQ,
a0FHp00000zy73FMAQ,
a0FHp00000zy73GMAQ,
a0FHp00000zy73HMAQ,
a0FHp00000zy73IMAQ,
a0FHp00000zy73JMAQ,
a0FHp00000zy73KMAQ,
a0FHp00000zy73LMAQ,
a0FHp00000zy73MMAQ,
a0FHp00000zy73NMAQ,
a0FHp00000zy73OMAQ,
a0FHp00000zy73PMAQ,
a0FHp00000zy73QMAQ,
a0FHp00000zy73RMAQ,
a0FHp00000zy73SMAQ,
